,Community,PC-1,PC-2,Log10(KP-CFU)
0,Mix01 (KP only),-3.6026530844547247,-0.9891111618069859,8.991226076135652
1,Mix02,-2.3572178220901714,0.11530988126185579,8.491361695235222
2,Mix03,-3.136132861026092,0.8843157921984386,8.591064608140075
3,Mix04,-3.149507291821171,0.4546922550388064,8.146128038780342
4,Mix05,-3.6658285193984224,0.6547718844441043,7.204120009799329
5,Mix06,-2.268574694145811,-0.7425893603317709,7.845098046218464
6,Mix07,-3.665828519398427,0.6547718844441062,7.397940026043816
7,Mix08,-1.2620499998593,-1.0843302516100084,7.361727854899962
8,Mix09,-3.2041768368551122,2.225142179284419,6.612783962645206
9,Mix10,-2.257616759908511,-0.18523255432939303,8.556302501973661
10,Mix11,-1.61011950915509,-2.062957017114363,8.342422682796272
11,Mix12,-3.025147586639953,2.9659053750194873,4.929424035031084
12,Mix13,-1.7059513463068816,-1.3343970358913069,7.643452686356516
13,Mix14,-2.0172281842979065,-0.3783230711606355,7.770852019003067
14,Mix15,-0.7715764492494025,0.8489982339315436,5.954242991988481
15,Mix16,-2.2365329045537092,0.09044266250594986,8.204119985370266
16,Mix17,-2.859156681237099,2.634614696874842,4.977728176785649
17,Mix18,-1.6920633671984078,-2.4974587917450943,7.518513953038326
18,Mix19,-0.19815495929515514,1.8722348526585786,7.176091288008646
19,Mix20,1.6606926334699843,0.25014456145995095,6.633468556578292
20,Mix21,-1.5046788869106793,1.2382954213575008,5.732394564071265
21,Mix22,-1.241824131374372,1.1727439147468905,7.596597106621257
22,Mix23,0.23003169324203507,0.8562777559770302,7.301030017378705
23,Mix24,-0.9409348829317092,-1.3256049148666318,7.623249300738245
24,Mix25,-2.639208920870653,3.1231090334700826,5.812914024787698
25,Mix26,-0.672742017247437,0.5524140703797121,5.908485555044346
26,Mix27,-0.25769723882425033,-1.38887988120555,7.681241246423389
27,Mix28,0.15846464533299087,-1.8504752727814984,6.707570261253709
28,Mix29,-0.15541481007324648,-0.20531347727385266,6.875061321297627
29,Mix30,-0.7411909828756591,-2.030643281547901,7.568201735804683
30,Mix31,1.964087139860485,-0.07329572902109315,4.707578691592528
31,Mix32,-0.37707245228615,1.994006037011945,6.176091548585239
32,Mix33,-0.6113471373417854,1.6274984868401592,7.414973364674451
