,Community,PC-1,PC-2,Log10(KP-CFU)
0,Mix01 (KP only),2.4451004042639903,0.5843712098956939,8.991226076135652
1,Mix02,-3.672651137765567,2.3542263048994494,8.491361695235222
2,Mix03,2.300879954100985,4.008549914067639,8.591064608140075
3,Mix04,0.9642366215488629,2.3005290464748405,8.146128038780342
4,Mix05,-0.6776473327227044,-0.7376579816967572,7.204120009799329
5,Mix08,-2.431690290533985,1.72421437307002,7.361727854899962
6,Mix09,-3.045271468853302,1.895550357333463,6.612783962645206
7,Mix10,-0.9615438370622752,2.592500202979808,8.556302501973661
8,Mix11,0.6571883652099377,0.8481098508758107,8.342422682796272
9,Mix13,-3.024790378932065,-1.1208692373597784,7.643452686356516
10,Mix14,2.5601005510106254,-1.1690263450961123,7.770852019003067
11,Mix15,-1.4957835301141005,-1.1505854444965962,5.954242991988481
12,Mix16,-1.9616565702621938,0.8704364742320474,8.204119985370266
13,Mix18,4.720766871518974,-0.6029886628174269,7.518513953038326
14,Mix19,1.1436216209004086,-3.6944695317425222,7.176091288008646
15,Mix20,0.6605285399891251,3.2250130961240004,6.633468556578292
16,Mix21,-3.241089150240982,-2.4907599721353337,5.732394564071265
17,Mix23,-1.1467413766977035,-3.138160461034785,7.301030017378705
18,Mix24,2.37866287829394,-1.0062961800572647,7.623249300738245
19,Mix25,3.2357823530686947,1.5555626744488746,5.812914024787698
20,Mix26,-1.3934794145335783,-1.6509866896180319,5.908485555044346
21,Mix27,0.6525077456393248,2.385991483770257,7.681241246423389
22,Mix28,1.4937485580644911,-0.9566926638258598,6.707570261253709
23,Mix29,-1.725540933858796,-2.844559399845908,6.875061321297627
24,Mix30,0.6805670091945963,1.719897674656366,7.568201735804683
25,Mix31,-2.1864338221934703,-1.0091959692550472,4.707578691592528
26,Mix32,-1.482681563476799,-2.573662862182689,6.176091548585239
27,Mix33,2.199013584965807,-1.3642309665658148,7.414973364674451
28,Mix37,2.1749623203711814,0.09340594350520101,6.518514071482256
29,Mix38,3.436153959329475,-2.3129321093175217,8.204119985370266
30,Mix41,0.12537484961188802,-0.8505254765162144,7.278753623810433
31,Mix42,-0.21753511919337287,-3.6163116925713665,6.672097950338789
32,Mix43,-3.135377851118857,0.4711625643133627,6.880813649424798
33,Mix44,-4.33836502867542,2.3695553603822868,7.146128066699271
34,Mix45,1.4102402398798173,-0.8385007434223176,6.806180041842395
35,Mix46,2.67538347759107,3.5007738398644497,0.0
36,Mix47,-0.362195668863814,3.007685063975809,6.50515011403691
37,Mix48,-1.6070239266037987,-2.7118749783474048,4.851264465499688
38,Mix49,-0.9401380854311062,-0.11155490075430613,7.748188034761459
39,Mix50,0.8180934902713051,0.39998233372084196,7.255272529230776
40,Mix51,0.7961293652365165,-3.6601564672427522,6.518514071482256
41,Mix52,2.680587087195034,0.5514695466492491,7.204120009799329
42,Mix53,-1.060158133465748,2.3680458794302393,6.146128345888472
43,Mix55,-2.0442670655096338,-2.123641797132161,8.36172783790583
44,Mix56,-1.4895778165969527,-0.7205379352122526,7.342422700562864
45,Mix57,1.618242907473408,1.759145615113527,7.176091288008646
46,Mix58,-0.9712289658014518,0.2638744366307433,6.025306274976352
47,Mix59,-0.7548907529403255,2.1907565934363142,5.716004178815692
48,Mix60,1.8682165393464663,-1.2464635236411699,6.301030212811168
49,Mix61,2.0078267679991653,0.8424204174590599,7.255272529230776
50,Mix62,0.9608338342413617,-0.9085659584644175,6.698970091194907
51,Mix63,-0.6130266117909712,2.348333579223857,7.04139272463954
52,Mix64,-0.217137668583835,4.653538615609074,6.50515011403691
53,Mix65,3.8277332413889336,0.1314863233607997,7.146128066699271
54,Mix66,0.34810796991186,-3.668750172854278,5.707571027654909
55,Mix67,0.44191841410919763,1.8835669548386518,6.380211422667602
56,Mix70,-0.7180287654668646,2.995681553976418,7.505149991891608
57,Mix71,-2.525751039063531,-0.3180945946825007,6.255272746377951
58,Mix72,2.0505923908533465,-2.970759593418698,4.518527100117336
59,Mix73,-1.9037841513444655,-0.09629518669250532,5.414975018330997
60,Mix74,0.8153643901433103,-1.5089609708436642,6.176091548585239
61,Mix75,0.043668664313998885,-2.478674295256591,7.380211259807209
62,Mix76,-0.18057479109781704,-0.4767745877008107,5.5051513354880415
63,Mix77,1.8416952553449546,-0.9713765709328847,6.431363925008766
64,Mix78,0.6173197937666869,-1.1992236437731167,6.176091548585239
65,Mix79,-0.7723743059572076,-0.6682596021569369,5.954242991988481
66,Mix82,0.32029320197264316,4.245667343995351,5.230451476044183
67,Mix83,-1.6695947600697405,1.4801894336370303,5.672098781965547
68,Mix84,2.177193120047544,-0.9197461809904942,7.204120009799329
69,Mix85,0.7105665757562034,-1.6814024559317846,5.8512589604010135
70,Mix86,1.3070298714780109,-0.9498423697820031,7.612783867312284
71,Mix87,5.238391371410782,1.861453251918876,7.176091288008646
72,Mix88,-3.059458804499947,-2.5350403254439726,6.6020600999015695
73,Mix89,0.4671520675566361,2.1938044782439268,8.204119985370266
74,Mix90,2.6173861727945815,-0.9831078620770415,6.230449176845541
75,Mix91,-1.0489690931030566,2.1139528183671645,6.7781513227660515
76,Mix92,-0.08107624088603946,-1.9347561612298363,8.113943355647564
77,Mix93,-5.035998663227733,-0.2566268250315248,5.518515255919778
78,Mix94,-2.741378599364602,1.4738338270223583,4.051191124685698
79,Mix95,-0.645322762560268,-1.6748629427254025,4.63347855533382
80,Mix96,-2.908926918701063,0.6390238543729739,0.0
